CustID,AccountID,Balance,Interest,Type
1000006,21592,2376.43,2,Funds
1000007,16789,1812.72,5,Funds
1000008,15567,3350.65,2,Funds
1000009,11907,1191.82,4,Funds
1000018,20703,0,2,Funds
1000019,5065,1487.97,3,Funds
1000027,21592,2601.25,2,Funds
1000028,16789,3550.49,5,Funds
1000033,12354,968.81,6,Funds
1000034,7432,0,7,Funds
1000035,15567,2726.15,2,Funds
1000037,11907,2426.39,4,Funds
1000047,20703,2601.25,2,Funds
1000048,20983,1712.8,5,Funds
1000049,5065,3475.55,3,Funds
1000055,23576,1725.29,2,Funds
1000058,20374,1313.11,7,Funds
1000063,14845,1550.42,7,Funds
1000074,9418,1200.15,7,Funds
1000080,21625,967,3,Funds
1000084,12354,3650.41,6,Funds
1000088,4614,1066.92,6,Funds
1000091,8914,2876.03,7,Funds
1000092,2286,3100.85,1,Funds
1000093,7432,2626.23,7,Funds
1000096,16213,1500.46,2,Funds
1000105,20983,2551.29,5,Funds
1000106,4199,793.95,3,Funds
1000114,12332,1158.52,2,Funds
1000115,13902,1438.01,1,Funds
1000121,2600,3025.91,5,Funds
1000122,23535,3100.85,3,Funds
1000124,22435,1462.99,7,Funds
1000132,8070,1912.64,1,Funds
1000132,12045,1912.64,1,Funds
1000133,5397,612.84,2,Funds
1000133,13778,612.84,6,Funds
1000133,15423,612.84,7,Funds
1000137,23271,1875.17,2,Funds
1000142,23576,3200.77,2,Funds
1000149,20374,3550.49,7,Funds
1000153,352,1712.8,3,Funds
1000153,14871,1712.8,7,Funds
1000155,14845,2726.15,7,Funds
1000165,12232,1612.87,3,Funds
1000166,2216,1188.21,7,Funds
1000168,19352,1687.81,6,Funds
1000169,13444,1108.56,1,Funds
1000171,3478,1712.8,1,Funds
1000172,15999,1700.31,3,Funds
1000173,3553,1512.95,4,Funds
1000175,15235,812.68,4,Funds
1000177,20455,768.97,7,Funds
1000180,9418,3075.87,7,Funds
1000184,9933,1525.44,7,Funds
1000186,21625,3300.69,3,Funds
1000194,8004,1175.72,1,Funds
1000194,14561,1175.72,1,Funds
1000195,15043,1275.64,5,Funds
1000199,22798,1875.17,3,Funds
1000202,16343,1313.11,2,Funds
1000204,14721,1537.93,6,Funds
1000208,3706,1288.13,6,Funds
1000215,4614,0,6,Funds
1000217,8914,3275.71,7,Funds
1000218,10721,1625.36,6,Funds
1000218,19865,1625.36,2,Funds
1000219,2286,2950.97,1,Funds
1000220,16519,775.49,5,Funds
1000223,5567,1450.5,7,Funds
1000225,16213,2826.07,2,Funds
1000234,863,1413.03,3,Funds
1000235,3602,2426.39,1,Funds
1000236,9099,1562.91,6,Funds
1000238,4199,2651.21,3,Funds
1000245,8969,3025.91,5,Funds
1000247,12332,2925.99,2,Funds
1000251,15973,1687.81,3,Funds
1000252,10879,1700.31,4,Funds
1000258,13902,2651.21,1,Funds
1000262,9692,967,3,Funds
1000271,22613,762.72,6,Funds
1000273,15187,925.37,1,Funds
1000277,22180,1750.27,5,Funds
1000279,20106,1350.58,1,Funds
1000280,2600,2901.01,5,Funds
1000281,16891,1862.68,5,Funds
1000282,21895,768.97,2,Funds
1000283,23535,3125.83,3,Funds
1000284,19315,3525.51,1,Funds
1000290,13298,1350.58,6,Funds
1000300,22435,3250.73,7,Funds
1000308,8895,2226.54,1,Funds
1000321,3180,1675.32,4,Funds
1000327,8070,3325.67,1,Funds
1000328,20211,1300.62,2,Funds
1000329,3715,1288.13,4,Funds
1000331,18728,2351.45,6,Funds
1000332,17615,1725.29,2,Funds
1000333,12045,3450.57,1,Funds
1000336,18470,3900.21,1,Funds
1000338,5397,3100.85,2,Funds
1000339,13778,2376.43,6,Funds
1000342,15423,2950.97,7,Funds
1000343,8440,900.11,5,Funds
1000345,24047,1066.92,7,Funds
1000350,23271,2601.25,2,Funds
1000353,14984,706.52,2,Funds
1000358,2052,792.14,2,Funds
1000365,352,2925.99,3,Funds
