CustID,ContactID,Date,Agent,Category
1000008,1,19JUL2014:00:00:00,58,Telebanking
1000014,2,08APR2014:00:00:00,94,Complaint
1000014,3,02MAR2014:00:00:00,56,Complaint
1000018,4,12JUN2014:00:00:00,28,Telebanking
1000028,5,23FEB2014:00:00:00,36,Telebanking
1000034,6,20MAR2014:00:00:00,24,Telebanking
1000035,7,24MAY2014:00:00:00,21,Telebanking
1000035,8,25JUN2014:00:00:00,81,Telebanking
1000037,9,06JAN2014:00:00:00,32,Complaint
1000039,10,26JUN2014:00:00:00,70,Complaint
1000040,11,28APR2014:00:00:00,31,Complaint
1000040,12,19MAY2014:00:00:00,68,Complaint
1000041,13,18JUL2014:00:00:00,12,Telebanking
1000050,14,04JUL2014:00:00:00,99,Telebanking
1000080,15,23JAN2014:00:00:00,56,Telebanking
1000080,16,28FEB2014:00:00:00,36,Telebanking
1000083,17,14MAR2014:00:00:00,13,Telebanking
1000090,18,30MAR2014:00:00:00,37,Telebanking
1000090,19,06FEB2014:00:00:00,89,Complaint
1000091,20,15FEB2014:00:00:00,13,Complaint
1000096,21,10JUL2014:00:00:00,69,Telebanking
1000098,22,06APR2014:00:00:00,18,Telebanking
1000100,23,13JAN2014:00:00:00,61,Complaint
1000106,24,21FEB2014:00:00:00,63,Complaint
1000114,25,22APR2014:00:00:00,96,Telebanking
1000114,26,02MAY2014:00:00:00,85,Telebanking
1000121,27,19JUN2014:00:00:00,33,Telebanking
1000131,28,02MAY2014:00:00:00,79,Telebanking
1000131,29,31JAN2014:00:00:00,94,Telebanking
1000142,30,22FEB2014:00:00:00,48,Complaint
1000154,31,18MAR2014:00:00:00,91,Complaint
1000154,32,12APR2014:00:00:00,43,Complaint
1000154,33,12JUL2014:00:00:00,1,Complaint
1000166,34,28JAN2014:00:00:00,10,Telebanking
1000166,35,22MAR2014:00:00:00,18,Telebanking
1000168,36,23APR2014:00:00:00,92,Telebanking
1000186,37,28MAY2014:00:00:00,1,Complaint
1000186,38,28APR2014:00:00:00,59,Telebanking
1000204,39,11JAN2014:00:00:00,85,Request
1000204,40,10MAR2014:00:00:00,41,Telebanking
