CustID,Birthdate,Title,Branch,CustomerSince,Gender,MaritalStatus
1000002,26DEC1958,,Fil1,01JAN2000,Male,Married
1000005,25JUN1947,Ing.,Fil4,01APR1999,Male,Single
1000006,10DEC1945,,Fil4,01SEP1996,Female,Married
1000007,02JUN1934,,Fil1,01SEP1997,Male,Married
1000008,15DEC1957,Dr.,Fil3,01JAN1996,Male,Single
1000009,11MAR1959,,Fil2,01JUL2001,Male,Single
1000014,23AUG1952,,Fil4,01MAY1996,Male,Single
1000015,12MAY1959,,Fil2,01FEB1999,Male,Single
1000016,11FEB1967,,Fil2,01FEB2001,Male,Married
1000018,,,Fil2,01JUL2003,Male,Single
1000019,30DEC1936,Ing.,Fil2,01JAN2002,Male,Single
1000021,12AUG1959,,Fil2,01OCT2003,Male,Divorce
1000022,10JUL1961,,Fil1,01NOV1993,Male,Married
1000026,20JAN1972,,Fil1,01DEC1995,Male,Married
1000027,26APR1969,Ing.,Fil2,01MAR2000,Female,Married
1000028,25APR1951,DI.,Fil1,01SEP2003,Male,Married
1000029,12SEP1958,,Fil2,01JUL1996,Female,Single
1000030,02OCT1950,,Fil1,01NOV1999,Female,Married
1000032,19JUL1951,,Fil4,01MAY1999,Male,Married
1000033,18FEB1956,,Fil2,01JAN1997,Male,Single
1000034,,,Fil4,01MAR1992,Female,Single
1000035,03MAR1965,Mag.,Fil2,01JAN2002,Female,Single
1000036,04MAR1941,,Fil2,01APR2002,Male,Married
1000037,26AUG1954,,Fil3,01MAY1999,Female,Married
1000039,13SEP1961,,Fil2,01JUL1996,Male,Married
1000040,06AUG1966,,Fil4,01MAR1999,Male,Married
1000041,07SEP1944,,Fil1,01JAN1997,Female,Married
1000044,15JAN1941,,Fil2,01SEP1981,Male,Married
1000046,25MAR1968,,Fil4,01JUN1999,Male,Married
1000047,05AUG1960,,Fil4,01DEC2000,Male,Single
1000048,02JAN1965,,Fil2,01NOV1995,Female,Married
1000049,20SEP1952,DI.,Fil4,01FEB1996,Male,Married
1000050,16JUN1949,,Fil2,01APR2003,Male,Divorce
1000053,27MAR1954,Mag.,Fil1,01OCT2000,Male,Divorce
1000055,19OCT1956,Mag.,Fil4,01AUG2001,Female,Married
1000057,02JUL1961,,Fil1,01FEB1993,Male,Single
1000058,23JUL1964,,Fil4,01AUG1999,Female,Married
1000060,02OCT1980,,Fil1,01FEB1999,Female,Married
1000062,20JAN1967,,Fil4,01APR2003,Female,Married
1000063,13SEP1961,,Fil2,01DEC1999,Male,Married
1000066,23MAY1964,Ing.,Fil1,01APR1999,Female,Divorce
1000071,19AUG1965,Mag.,Fil2,01NOV2000,Female,Married
1000072,25DEC1967,Ing.,Fil2,01FEB1989,Female,Single
1000073,15SEP1954,,Fil3,01JAN2001,Male,Single
1000074,10SEP1950,,Fil4,01JUL1995,Male,Single
1000075,10JUL1956,,Fil1,01JUN2003,Female,Married
1000080,14AUG1954,,Fil2,01SEP1997,Male,Single
1000081,27JAN1961,Mag.,Fil2,01OCT1999,Male,Single
1000082,16MAY1955,,Fil1,01OCT1998,Male,Single
1000083,09JUL1983,,Fil1,01JAN1999,Male,Divorce
1000084,11SEP1958,,Fil3,01OCT1992,Female,Single
1000086,30DEC1958,,Fil4,01APR2000,Male,Married
1000087,20MAR1959,,Fil4,01FEB1985,Male,Married
1000088,29JAN1963,Mag.,Fil4,01JAN1993,Male,Married
1000090,,,Fil4,01MAY1999,Female,Married
1000091,16AUG1954,,Fil1,01JAN1993,Male,Divorce
1000092,19APR1972,DI.,Fil4,01JUL1999,Male,Single
1000093,27JUL1951,Ing.,Fil2,01FEB2000,Female,Married
1000096,20JUL1955,,Fil1,01MAY1993,Female,Single
1000098,25MAR1954,,Fil2,01FEB2000,Male,Widowed
1000100,16JUL1957,,Fil4,01JUN1996,Female,Single
1000101,16MAR1961,Mag.,Fil4,01DEC1999,Male,Single
1000105,17JAN1966,,Fil4,01APR1996,Male,Married
1000106,15JUN1955,DI.,Fil4,01JUL1995,Male,Single
1000109,11DEC1943,,Fil4,01JUN1996,Male,Married
1000113,03NOV1965,,Fil2,01JAN2003,Male,Single
1000114,18DEC1977,,Fil4,01DEC1995,Female,Married
1000115,09FEB1958,Ing.,Fil4,01FEB2003,Male,Divorce
1000118,08DEC1963,,Fil4,01JAN1996,Male,Single
1000121,24APR1960,,Fil1,01JUL2000,Female,Single
1000122,11MAR1959,,Fil2,01JUN2002,Female,Single
1000123,03AUG1947,,Fil4,01JUL1996,Female,Married
1000124,18JAN1956,Mag.,Fil2,01APR1980,Male,Married
1000128,27OCT1959,Mag.,Fil4,01NOV1999,Female,Married
1000130,23SEP1963,,Fil3,01FEB1993,Male,Married
