LeasingID,CustID,StartDate,EndDate,Value,AnnualRate
14309,1021021,03JUN2006:00:00:00,06NOV2019:00:00:00,416659,141.901982
20256,1030630,03JUN2006:00:00:00,05MAY2024:00:00:00,259553,206.17883832
21371,1032328,03JUN2006:00:00:00,09DEC2014:00:00:00,708508,126.65418946
2273,1002070,04JUN2006:00:00:00,09MAR2016:00:00:00,934375,263.01151962
2563,1002512,04JUN2006:00:00:00,20MAR2019:00:00:00,182268,182.61406802
4983,1006520,04JUN2006:00:00:00,21MAR2023:00:00:00,332047,57.859401727
9825,1014056,04JUN2006:00:00:00,24JUL2021:00:00:00,271829,98.237848802
14397,1021161,04JUN2006:00:00:00,10SEP2016:00:00:00,912912,164.59394955
15867,1023522,04JUN2006:00:00:00,06APR2018:00:00:00,307843,165.98011251
20966,1031709,04JUN2006:00:00:00,06MAR2017:00:00:00,855580,97.544767322
4644,1005931,05JUN2006:00:00:00,27OCT2018:00:00:00,309882,128.55371262
4959,1006476,05JUN2006:00:00:00,09DEC2016:00:00:00,393811,68.948705397
17903,1026778,05JUN2006:00:00:00,08MAR2020:00:00:00,476266,213.10965311
23180,1035168,05JUN2006:00:00:00,15MAR2019:00:00:00,965803,189.54488281
23474,1035613,05JUN2006:00:00:00,29SEP2017:00:00:00,552006,157.66313476
7393,1010365,06JUN2006:00:00:00,16MAY2015:00:00:00,519198,65.663019271
12238,1017710,06JUN2006:00:00:00,18DEC2017:00:00:00,344559,179.8417421
15196,1022431,06JUN2006:00:00:00,22OCT2021:00:00:00,113536,73.979997023
18089,1027059,06JUN2006:00:00:00,07NOV2021:00:00:00,155461,132.7122015
22933,1034790,06JUN2006:00:00:00,23FEB2020:00:00:00,408580,98.930930281
23794,1036107,06JUN2006:00:00:00,24SEP2017:00:00:00,973041,103.78250064
5737,1007849,07JUN2006:00:00:00,17MAR2019:00:00:00,71611,106.55482655
14204,1020846,07JUN2006:00:00:00,28FEB2019:00:00:00,201070,200.63418648
18889,1028403,07JUN2006:00:00:00,19FEB2021:00:00:00,319885,132.7122015
9540,1013618,08JUN2006:00:00:00,11JUN2019:00:00:00,324943,192.31720873
12437,1018011,08JUN2006:00:00:00,23APR2017:00:00:00,926981,193.70337169
16621,1024740,08JUN2006:00:00:00,14MAR2023:00:00:00,25128,175.68325322
16746,1024917,08JUN2006:00:00:00,23JAN2019:00:00:00,758885,188.15871985
24206,1036744,08JUN2006:00:00:00,30JAN2024:00:00:00,290149,106.55482655
26323,1039940,08JUN2006:00:00:00,02AUG2014:00:00:00,136528,108.63407099
5333,1007151,09JUN2006:00:00:00,06FEB2020:00:00:00,671499,150.73231996
8855,1012601,09JUN2006:00:00:00,24JUN2014:00:00:00,775475,225.58511974
10062,1014427,09JUN2006:00:00:00,09NOV2018:00:00:00,786827,220.0404679
13224,1019273,09JUN2006:00:00:00,11AUG2016:00:00:00,963,61.333410325
18762,1028195,09JUN2006:00:00:00,16JUN2014:00:00:00,387708,125.2680265
2986,1003178,10JUN2006:00:00:00,07JUL2018:00:00:00,629447,111.40639691
10773,1015506,10JUN2006:00:00:00,27DEC2022:00:00:00,58025,215.88197903
25233,1038347,10JUN2006:00:00:00,05JUN2015:00:00:00,419369,221.42663086
25641,1038940,10JUN2006:00:00:00,29AUG2019:00:00:00,112050,85.069300694
2392,1002244,11JUN2006:00:00:00,06FEB2015:00:00:00,355325,174.29709026
6853,1009533,11JUN2006:00:00:00,03SEP2019:00:00:00,336352,69.188333758
14016,1020577,11JUN2006:00:00:00,29MAR2019:00:00:00,108688,114.87180431
19422,1029272,11JUN2006:00:00:00,05FEB2017:00:00:00,478704,143.80150517
25797,1039168,12JUN2006:00:00:00,27DEC2022:00:00:00,310159,235.28826045
3545,1004083,13JUN2006:00:00:00,03MAR2022:00:00:00,427376,229.74360861
6718,1009337,13JUN2006:00:00:00,08NOV2022:00:00:00,712119,240.83291228
11061,1015927,13JUN2006:00:00:00,06DEC2015:00:00:00,990546,94.079359926
25283,1038418,13JUN2006:00:00:00,13JAN2016:00:00:00,687347,51.108308204
4745,1006095,14JUN2006:00:00:00,12DEC2020:00:00:00,894409,99.624011761
7609,1010685,14JUN2006:00:00:00,16FEB2023:00:00:00,5195,196.4756976
16508,1024558,14JUN2006:00:00:00,16DEC2014:00:00:00,195959,81.603893297
22769,1034557,14JUN2006:00:00:00,04OCT2021:00:00:00,493563,68.435345188
4846,1006285,15JUN2006:00:00:00,25MAY2017:00:00:00,989452,103.08941916
5914,1008149,15JUN2006:00:00:00,15AUG2021:00:00:00,350247,71.721031314
14240,1020904,15JUN2006:00:00:00,13APR2018:00:00:00,909912,120.23673487
23746,1036035,15JUN2006:00:00:00,29MAR2015:00:00:00,476761,217.26814199
24035,1036500,15JUN2006:00:00:00,05JUL2023:00:00:00,919,172.9109273
24836,1037754,15JUN2006:00:00:00,05SEP2020:00:00:00,965023,217.26814199
16073,1023845,16JUN2006:00:00:00,06OCT2017:00:00:00,17363,95.285801613
21551,1032615,16JUN2006:00:00:00,15JUL2019:00:00:00,759914,200.63418648
24089,1036585,16JUN2006:00:00:00,03FEB2021:00:00:00,623634,207.56500127
20653,1031226,17JUN2006:00:00:00,23MAR2022:00:00:00,475264,199.24802352
22644,1034373,17JUN2006:00:00:00,30JAN2020:00:00:00,43514,214.49581607
23929,1036319,17JUN2006:00:00:00,15DEC2016:00:00:00,928126,167.36627547
25534,1038800,17JUN2006:00:00:00,25NOV2018:00:00:00,719704,136.35733017
3119,1003394,18JUN2006:00:00:00,11FEB2015:00:00:00,467195,199.24802352
14563,1021429,18JUN2006:00:00:00,14NOV2016:00:00:00,578674,192.31720873
17062,1025441,18JUN2006:00:00:00,26JUL2022:00:00:00,978394,170.13860139
19150,1028836,18JUN2006:00:00:00,24AUG2016:00:00:00,825646,168.75243843
21118,1031942,18JUN2006:00:00:00,10SEP2022:00:00:00,942095,80.217730338
26053,1039551,18JUN2006:00:00:00,15AUG2020:00:00:00,303227,131.50575981
4031,1004908,19JUN2006:00:00:00,21NOV2023:00:00:00,202412,211.72349015
14342,1021072,19JUN2006:00:00:00,24FEB2017:00:00:00,851836,171.52476435
18261,1027372,19JUN2006:00:00:00,10MAY2020:00:00:00,500253,121.62289783
24263,1036838,19JUN2006:00:00:00,15SEP2015:00:00:00,173730,228.35744566
5557,1007544,20JUN2006:00:00:00,19JUN2017:00:00:00,9607,149.34615701
10277,1014742,20JUN2006:00:00:00,17AUG2016:00:00:00,418465,94.079359926
12948,1018829,20JUN2006:00:00:00,27MAR2015:00:00:00,634085,145.18766813
17244,1025732,20JUN2006:00:00:00,04FEB2020:00:00:00,42829,215.88197903
3436,1003918,21JUN2006:00:00:00,13JUN2022:00:00:00,737314,171.52476435
3509,1004033,21JUN2006:00:00:00,24MAR2022:00:00:00,357878,199.24802352
4599,1005846,21JUN2006:00:00:00,18MAR2024:00:00:00,116976,221.42663086
11541,1016623,21JUN2006:00:00:00,28OCT2020:00:00:00,344440,121.62289783
12350,1017886,21JUN2006:00:00:00,19MAY2021:00:00:00,378087,125.2680265
